model-1644207649, 0, 1644207653.773, 0.54, 0.2504, 0.51, 0.2637
model-1644207649, 0, 1644207653.84, 0.54, 0.2465, 0.55, 0.2431
model-1644207649, 0, 1644207653.907, 0.55, 0.2485, 0.58, 0.2437
model-1644207649, 0, 1644207653.974, 0.55, 0.2407, 0.54, 0.2451
model-1644207649, 0, 1644207654.041, 0.57, 0.2451, 0.67, 0.2286
model-1644207649, 0, 1644207654.108, 0.61, 0.2376, 0.63, 0.2352
model-1644207649, 0, 1644207654.177, 0.56, 0.2421, 0.59, 0.2464
model-1644207649, 0, 1644207654.246, 0.64, 0.2304, 0.55, 0.2387
model-1644207649, 0, 1644207654.315, 0.61, 0.2373, 0.59, 0.2378
model-1644207649, 0, 1644207654.384, 0.65, 0.2347, 0.63, 0.2336
model-1644207649, 0, 1644207654.452, 0.59, 0.2376, 0.61, 0.2349
model-1644207649, 0, 1644207654.521, 0.55, 0.2417, 0.62, 0.2359
model-1644207649, 0, 1644207654.588, 0.59, 0.2346, 0.64, 0.2265
model-1644207649, 0, 1644207654.656, 0.58, 0.241, 0.65, 0.2289
model-1644207649, 0, 1644207654.724, 0.64, 0.2305, 0.63, 0.2305
model-1644207649, 0, 1644207654.791, 0.49, 0.2508, 0.58, 0.2304
model-1644207649, 0, 1644207654.858, 0.6, 0.2334, 0.6, 0.2393
model-1644207649, 0, 1644207654.926, 0.63, 0.2315, 0.6, 0.2384
model-1644207649, 0, 1644207654.993, 0.61, 0.2282, 0.57, 0.2343
model-1644207649, 0, 1644207655.06, 0.63, 0.2282, 0.63, 0.2278
model-1644207649, 0, 1644207655.128, 0.62, 0.2241, 0.64, 0.229
model-1644207649, 0, 1644207655.195, 0.63, 0.2292, 0.62, 0.2251
model-1644207649, 0, 1644207655.263, 0.68, 0.2157, 0.63, 0.2311
model-1644207649, 0, 1644207655.331, 0.6, 0.2376, 0.65, 0.235
model-1644207649, 0, 1644207655.398, 0.51, 0.2616, 0.67, 0.2114
model-1644207649, 0, 1644207655.465, 0.6, 0.2379, 0.55, 0.2454
model-1644207649, 0, 1644207655.532, 0.58, 0.2397, 0.68, 0.2152
model-1644207649, 0, 1644207655.6, 0.64, 0.2274, 0.59, 0.2297
model-1644207649, 0, 1644207655.668, 0.58, 0.2352, 0.66, 0.2186
model-1644207649, 0, 1644207655.735, 0.66, 0.2285, 0.65, 0.2308
model-1644207649, 0, 1644207655.802, 0.58, 0.2261, 0.67, 0.217
model-1644207649, 0, 1644207655.87, 0.64, 0.23, 0.61, 0.2307
model-1644207649, 0, 1644207655.938, 0.6, 0.2291, 0.62, 0.2285
model-1644207649, 0, 1644207656.005, 0.61, 0.2357, 0.68, 0.2159
model-1644207649, 0, 1644207656.072, 0.55, 0.242, 0.69, 0.2164
model-1644207649, 0, 1644207656.14, 0.61, 0.2243, 0.63, 0.217
model-1644207649, 0, 1644207656.207, 0.62, 0.2237, 0.68, 0.2157
model-1644207649, 0, 1644207656.274, 0.62, 0.222, 0.64, 0.2174
model-1644207649, 0, 1644207656.343, 0.64, 0.2184, 0.65, 0.2163
model-1644207649, 0, 1644207656.41, 0.62, 0.2288, 0.65, 0.2046
model-1644207649, 0, 1644207656.477, 0.55, 0.241, 0.63, 0.2299
model-1644207649, 0, 1644207656.544, 0.58, 0.2384, 0.69, 0.2106
model-1644207649, 0, 1644207656.612, 0.6, 0.2336, 0.52, 0.2562
model-1644207649, 0, 1644207656.679, 0.53, 0.2485, 0.63, 0.225
model-1644207649, 0, 1644207656.747, 0.56, 0.2417, 0.7, 0.208
model-1644207649, 0, 1644207656.815, 0.61, 0.2365, 0.65, 0.2195
